iter	F1	Logloss
143	0.8633044184	0.3533409262
144	0.8633889426	0.3532473095
145	0.8632199107	0.3531309722
146	0.8641770364	0.3529660781
147	0.8641770364	0.3529414165
148	0.8643039033	0.3527896281
149	0.8644731172	0.3525879341
150	0.8645577489	0.3525047162
151	0.864600071	0.3524459044
152	0.864600071	0.3524125986
153	0.864600071	0.3523661638
154	0.8643462006	0.3522292913
155	0.8643462006	0.3521666833
156	0.864388502	0.3520642272
157	0.8644731172	0.35197162
158	0.8638118119	0.3517926349
159	0.8637695063	0.351693479
160	0.863234237	0.3515308737
161	0.8631919273	0.3514548946
162	0.8625288462	0.3513482055
163	0.8625711517	0.3512082929
164	0.8626980932	0.3511477929
165	0.8635305212	0.3509719866
166	0.8634881825	0.3509046979
167	0.8641927486	0.3507941422
168	0.8642350957	0.3506152177
169	0.8644045254	0.3504983776
170	0.8645316412	0.3502770777
171	0.8645740215	0.3500257554
172	0.8645316412	0.3499873464
173	0.8652354001	0.3498141058
174	0.8651930158	0.3492568387
175	0.8652354001	0.3491797202
176	0.865404979	0.349017425
177	0.865362578	0.348930898
178	0.865404979	0.3488624149
179	0.865447384	0.3488145956
180	0.865617046	0.3487298126
181	0.8656594719	0.34864403
182	0.8657867744	0.3484647883
183	0.8658716636	0.3479560834
184	0.8659141145	0.3478615736
185	0.8659565695	0.3476904273
186	0.8659990286	0.3475703772
187	0.8662538711	0.3473805339
188	0.8662113869	0.3473031395
189	0.8662538711	0.3472676525
190	0.8662538711	0.3471768443
191	0.8662113869	0.3470612511
192	0.8662113869	0.3470518514
193	0.8662113869	0.3466568841
194	0.8662538711	0.346480884
195	0.8663813486	0.3463014198
196	0.8663813486	0.3462351697
197	0.8663813486	0.3461507376
198	0.8665088636	0.3459559581
199	0.8665088636	0.3459367614
200	0.8658048592	0.3458444695
201	0.8665088636	0.3457457431
202	0.8663813486	0.3455666448
203	0.8665938944	0.3454948743
204	0.866721472	0.345320995
205	0.8661450176	0.3452301379
206	0.8668916339	0.3449991872
207	0.8669341848	0.3447860739
208	0.8669341848	0.3447197358
209	0.8669767399	0.3446585613
210	0.8669767399	0.3445887572
211	0.8670618626	0.3445045003
212	0.8669767399	0.3444912878
213	0.8669341848	0.344421338
214	0.8671470021	0.3442942441
215	0.867189578	0.3441918069
216	0.8672747426	0.3440217363
217	0.8673599238	0.3439696696
218	0.8674451218	0.3437300115
219	0.8674451218	0.3434825349
220	0.8674451218	0.3432997687
221	0.8675729501	0.3431829486
222	0.867615568	0.3431263582
223	0.8678287199	0.3429742144
224	0.8678713629	0.3428278416
225	0.86791401	0.3427041658
226	0.8679993169	0.3426247695
227	0.8679566614	0.3425699827
228	0.8679566614	0.3425477116
229	0.8672950281	0.3423297165
230	0.8673803356	0.3422265521
231	0.8674229956	0.3419381323
232	0.8680846405	0.3418418024
233	0.8681273086	0.3417129467
234	0.8680846405	0.3416933908
235	0.8680419766	0.3415961315
236	0.8680846405	0.3415672531
237	0.8681699809	0.3415074442
238	0.8681699809	0.3412768169
239	0.8682553381	0.3409530169
240	0.8683407121	0.3409158719
241	0.8683407121	0.3408823389
242	0.8684261029	0.3406492018
243	0.8684688046	0.3405248271
244	0.8685969349	0.3404148498
245	0.8685542206	0.3403769359
246	0.8685969349	0.3403251364
247	0.8685542206	0.3402288245
248	0.8685115105	0.3401201606
249	0.8684688046	0.3400905495
250	0.868682376	0.3399402007
251	0.8688533088	0.3398473211
252	0.8688533088	0.3398335983
253	0.8689388005	0.3397525557
254	0.8689815526	0.3394924148
255	0.8689815526	0.3394335258
256	0.8690243089	0.3393812888
257	0.8690243089	0.339316006
258	0.8691098342	0.3391119872
259	0.8684480965	0.3389783203
260	0.8691953763	0.3388906746
261	0.8693665111	0.338647117
262	0.8694093053	0.3384874817
263	0.8694093053	0.3383445565
264	0.8694093053	0.3382060808
265	0.8694093053	0.3380857255
266	0.8694093053	0.3380122721
267	0.8694093053	0.3379068343
268	0.8694521037	0.337766716
269	0.8694093053	0.3376694251
270	0.8694093053	0.3376499864
271	0.8695377132	0.3375357795
272	0.8696233396	0.3373168417
273	0.8696661591	0.3370887786
274	0.8697089829	0.3369924893
275	0.8697089829	0.3369178221
276	0.869794643	0.3368125247
277	0.8698803199	0.336794326
278	0.8693041999	0.3365902086
279	0.8693470494	0.336431491
280	0.869432761	0.3362644108
281	0.8702660753	0.3361072305
282	0.8703089582	0.3360805422
283	0.8696899973	0.3359816591
284	0.8696899973	0.3358830953
285	0.8696899973	0.3357194373
286	0.8696471141	0.3356904654
287	0.8697328849	0.3355353519
288	0.8696899973	0.3354826322
289	0.8698615728	0.3352638532
290	0.8698615728	0.3351955847
291	0.8699044773	0.3350371153
292	0.8698186726	0.3348593121
293	0.8698186726	0.3348358739
294	0.8698615728	0.3347893761
295	0.8699044773	0.3347586041
296	0.8699902988	0.3347182766
297	0.8699902988	0.3346844487
298	0.870738019	0.3344427426
299	0.8700761374	0.3343217387
300	0.8707809484	0.3341076247
301	0.8707809484	0.333755163
302	0.8709527081	0.3335138882
303	0.8710386134	0.3334148608
304	0.8711245357	0.3333728269
305	0.8711675032	0.3332244506
306	0.8711675032	0.333015775
307	0.8710386134	0.3329015375
308	0.8710815724	0.3327240546
309	0.8711675032	0.3325413516
310	0.8712104749	0.3323368872
311	0.8712104749	0.3322309906
312	0.8712104749	0.3322098678
313	0.8713824041	0.3319553637
314	0.8714683942	0.3317414649
315	0.8714683942	0.3315735125
316	0.8714683942	0.3315734966
317	0.8714683942	0.33148523
318	0.8716404253	0.3313414231
319	0.8716404253	0.3312453862
320	0.8717694932	0.3311253324
321	0.8719416432	0.3309831102
322	0.8719416432	0.3307927878
323	0.8718985993	0.3307715334
324	0.8719416432	0.3306452611
325	0.8720277437	0.330368684
326	0.8721138612	0.3301132136
327	0.8721138612	0.3299709088
328	0.8721138612	0.3297542407
329	0.8721569263	0.3296007586
330	0.8721569263	0.3295044119
331	0.8723723158	0.3293782514
332	0.8724585014	0.3291558735
333	0.8725016005	0.3289724148
334	0.8725878117	0.3287055005
335	0.872760285	0.328508743
336	0.872803414	0.3283241979
337	0.872803414	0.3282198274
338	0.872803414	0.3281988856
339	0.8726309236	0.3279394248
340	0.8726740398	0.3278892273
341	0.8728465473	0.3277090635
342	0.872803414	0.3275222832
343	0.8728896848	0.3272626443
344	0.8731485995	0.3269619844
345	0.8731485995	0.3269445122
346	0.8731485995	0.3268678533
347	0.8731917669	0.3267434369
348	0.8732781145	0.3263996802
349	0.8734508608	0.3262147556
350	0.8734508608	0.3260178138
351	0.87366689	0.3256168372
352	0.8740560118	0.3251987983
353	0.8741857961	0.3251193406
354	0.874315619	0.3248915943
355	0.874402189	0.3246241543
356	0.874402189	0.3242515086
357	0.8745320761	0.3240663164
358	0.8746620018	0.3239378435
359	0.8747486405	0.3236954616
360	0.8748786306	0.3236098623
361	0.8748786306	0.3234699233
362	0.8750520108	0.323216885
363	0.8750520108	0.3230619663
364	0.8750086593	0.3228862942
365	0.8750520108	0.3228348117
366	0.8752254598	0.3225646303
367	0.8752688328	0.3225061728
368	0.8753989775	0.3223758354
369	0.8754423677	0.3220351625
370	0.8755725641	0.3217464937
371	0.8757027992	0.3215981236
372	0.8757027992	0.3213656513
373	0.8757896441	0.3212867882
374	0.8759633857	0.3211674668
375	0.8759633857	0.320996943
376	0.8760937371	0.3209307394
377	0.8760068318	0.3207727803
378	0.8760068318	0.3207589833
379	0.8761371962	0.3206235686
380	0.8762241273	0.3204024989
381	0.8765285221	0.3200904332
382	0.8763980413	0.3198856248
383	0.8766155309	0.3197389271
384	0.8765285221	0.3195399005
385	0.8767896003	0.3193345363
386	0.8766590418	0.3190570878
387	0.876702557	0.318846743
388	0.8770072843	0.3185261144
389	0.8770508341	0.3183832066
390	0.8770943882	0.3181401833
391	0.8771379466	0.3180985969
392	0.8771379466	0.3179333362
393	0.8771379466	0.3177097545
394	0.8772686479	0.3175139372
395	0.8773558037	0.3174404729
396	0.8773558037	0.3170795753
397	0.8775301672	0.3167609114
398	0.8776609854	0.3166165403
399	0.8777918425	0.3164590102
400	0.8779227387	0.3162437791
401	0.8778354703	0.3160371079
402	0.8779663795	0.3158184993
403	0.8780100246	0.3156382995
404	0.8781409858	0.3153998494
405	0.8781846483	0.315382662
